wkt_geom,fid,field_1,station_id,date_from,date_to,altitude,latitude,longitude,name,state,dtm-altitude
Point (10.64179999999999993 49.53139999999999787),87,1105,6312,11/1/2004,9/30/2020,362,49.5314,10.6418,Markt Erlbach-Mosbach,Bayern,359.54
Point (9.65399999999999991 50.01319999999999766),88,1107,6336,11/1/2005,12/31/2021,288,50.0132,9.654,Lohr/Main-Halsbach,Bayern,287.98
Point (11.20350000000000001 48.20700000000000074),89,1110,6346,2/1/2005,12/31/2021,531,48.207,11.2035,Maisach-Galgen,Bayern,531.04
Point (10.29720000000000013 50.05789999999999651),90,1111,6347,3/1/2005,12/31/2021,305,50.0579,10.2972,Schonungen-Mainberg,Bayern,303.64
Point (11.8492999999999995 48.70199999999999818),91,1112,7075,2/1/2005,12/31/2021,429,48.702,11.8493,Elsendorf-Horneck,Bayern,422.57
Point (12.65479999999999983 47.83500000000000085),92,1114,7105,6/1/2005,12/31/2021,719,47.835,12.6548,Siegsdorf-Höll,Bayern,716.85
Point (10.73930000000000007 48.73740000000000094),93,1120,7319,3/1/2005,12/31/2021,435,48.7374,10.7393,Donauwörth-Osterweiler,Bayern,434.47
Point (12.82310000000000016 49.10880000000000223),94,1128,7350,8/1/2006,12/31/2021,585,49.1088,12.8231,Prackenbach-Neuhäusl,Bayern,589.98
Point (10.36609999999999943 49.16230000000000189),95,1133,7369,11/1/2007,12/31/2021,475,49.1623,10.3661,Feuchtwangen-Heilbronn,Bayern,475.05
Point (12.68379999999999974 49.39099999999999824),96,1134,7370,12/11/2006,12/31/2021,499,49.391,12.6838,Waldmünchen,Bayern,494.91
Point (11.97450000000000081 50.03150000000000119),97,1139,7394,6/1/2006,12/31/2021,622,50.0315,11.9745,Wunsiedel-Schönbrunn,Bayern,621.91
Point (12.53880000000000017 48.65950000000000131),98,1140,7395,12/1/2007,12/31/2021,351,48.6595,12.5388,Gottfrieding,Bayern,350.46
Point (9.42379999999999995 50.00829999999999842),99,1144,7412,10/1/2006,12/31/2021,340,50.0083,9.4238,Neuhütten/Spessart,Bayern,336.53
Point (12.90729999999999933 47.77239999999999753),100,1147,7424,12/1/2006,12/31/2021,457,47.7724,12.9073,Piding,Bayern,456.28
Point (11.55240000000000045 48.01299999999999812),101,1150,7431,11/1/2007,12/31/2021,604,48.013,11.5524,Oberhaching-Laufzorn,Bayern,603.8
Point (12.25760000000000005 48.57339999999999947),102,1157,13710,4/1/2008,12/31/2021,490,48.5734,12.2576,Landshut-Reithof,Bayern,489.04
Point (10.58489999999999931 47.87610000000000099),103,1173,15555,5/1/2016,12/31/2021,815,47.8761,10.5849,Kaufbeuren-Oberbeuren,Bayern,815.8
Point (13.55279999999999951 48.8049000000000035),104,1182,19087,5/1/1957,12/31/2021,645,48.8049,13.5528,Freyung vorm Wald,Bayern,638.11
