"station_id","date_from","date_to","altitude","latitude","longitude","name","state","geometry"
3499,"2006-07-01","2022-09-07",292,51.2915,7.853,"Neuenrade-Blintrop","Nordrhein-Westfalen","0101000020E6100000B6F3FDD478691F405A643BDF4FA54940"
3540,"2004-11-01","2022-09-07",195,50.8446,7.372,"Neunkirchen-Seelscheid-Krawinkel","Nordrhein-Westfalen","0101000020E6100000B0726891ED7C1D40CE1951DA1B6C4940"
3591,"2004-06-01","2022-09-07",350,50.6743,6.424,"Nideggen-Schmidt","Nordrhein-Westfalen","0101000020E61000001904560E2DB21940AED85F764F564940"
3795,"2004-12-01","2022-09-07",49,51.7066,7.3564,"Olfen","Nordrhein-Westfalen","0101000020E6100000772D211FF46C1D4043AD69DE71DA4940"
3913,"2004-07-01","2022-09-07",43,52.3817,9.0176,"Petershagen","Nordrhein-Westfalen","0101000020E6100000B7D100DE020922400D71AC8BDB304A40"
4063,"2003-07-01","2022-09-07",41,52.4461,8.5906,"Rahden-Kleinendorf","Nordrhein-Westfalen","0101000020E610000003098A1F632E2140705F07CE19394A40"
4127,"2005-01-01","2022-09-07",347,50.9906,7.6958,"Reichshof-Eckenhagen","Nordrhein-Westfalen","0101000020E61000002A3A92CB7FC81E4074B515FBCB7E4940"
4150,"2005-12-01","2022-09-07",59,51.8118,7.0907,"Reken","Nordrhein-Westfalen","0101000020E610000022FDF675E05C1C404772F90FE9E74940"
4313,"2004-08-01","2022-09-07",370,51.4966,8.4342,"Rüthen","Nordrhein-Westfalen","0101000020E6100000AED85F764FDE2040C898BB9690BF4940"
4368,"2004-10-01","2022-09-07",93,51.7098,8.5796,"Salzkotten","Nordrhein-Westfalen","0101000020E6100000F085C954C1282140B459F5B9DADA4940"
4371,"1995-09-01","2022-09-07",135,52.1042,8.7521,"Salzuflen, Bad","Nordrhein-Westfalen","0101000020E6100000A9A44E4013812140211FF46C560D4A40"
4400,"2004-08-01","2022-09-07",171,51.5439,8.1808,"Sassendorf, Bad-Beusingsen","Nordrhein-Westfalen","0101000020E6100000CD3B4ED1915C2040AF25E4839EC54940"
4488,"2006-08-01","2022-09-07",443,51.2127,8.2672,"Schmallenberg-Sellinghausen","Nordrhein-Westfalen","0101000020E61000007FFB3A70CE882040FAEDEBC0399B4940"
4741,"2004-12-01","2022-09-07",152,51.14,7.093,"Solingen-Hohenscheid","Nordrhein-Westfalen","0101000020E6100000AC1C5A643B5F1C4052B81E85EB914940"
4849,"2005-06-01","2022-09-07",64,52.1173,7.3411,"Steinfurt-Burgsteinfurt","Nordrhein-Westfalen","0101000020E610000093A98251495D1D4010E9B7AF030F4A40"
5064,"2004-12-01","2022-09-07",37,51.2897,6.4437,"Tönisvorst","Nordrhein-Westfalen","0101000020E6100000D8F0F44A59C619405BD3BCE314A54940"
